satisfaction_level,last_evaluation,number_project,average_montly_hours,Work_accident,promotion_last_5years,salary,hire_date,move_date,end_date,leader_host,country_home,culture_home,country_host,culture_host,function_host,business Size_host,economic Perspective_host,fired_quit,buzz_bust
0.38,0.53,2,157,0,0,low,01-Jul-00,01-Sep-14,01-Sep-17,consistent,czech republic,egalitarian,russia,hierarquical,commercial,lbu,positive,fired,bust
0.9,0.86,5,262,0,0,medium,03-Jun-03,04-Feb-13,04-Feb-16,consistent,italy,hierarquical,netherlands,consensual,finance,lbu,positive,fired,bust
0.11,0.88,7,272,0,0,medium,01-Sep-05,24-Feb-14,28-Feb-17,well placed talent,spain,hierarquical,united states,egalitarian,marketing,united states,positive,fired,bust
0.75,0.87,5,223,0,0,low,01-Jan-09,27-Dec-10,31-Mar-15,consistent,norway,consensual,servia,consensual,commercial,sbu,neutral,fired,bust
0.37,0.52,2,159,0,0,low,01-Jul-02,02-Feb-15,30-Nov-19,well placed talent,new zealand,egalitarian,singapore,hierarquical,commercial,sbu,positive,fired,bust
0.41,0.5,2,153,0,0,low,21-Oct-06,27-Jan-14,11-Mar-16,consistent,australia,egalitarian,united states,egalitarian,legal,united states,positive,fired,bust
0.1,0.77,6,247,0,0,low,17-Nov-08,00-Jan-00,10-May-15,consistent,australia,egalitarian,singapore,hierarquical,medical,sbu,positive,fired,bust
0.9,0.85,5,259,0,0,low,01-Jul-09,01-Dec-14,01-Dec-19,consistent,germany,consensual,france,hierarquical,marketing,lbu,neutral,fired,bust
0.89,1,5,224,0,0,low,20-Jul-09,01-Jun-15,31-Mar-16,well placed talent,singapore,hierarquical,united states,egalitarian,human resources,united states,positive,fired,bust
0.5,0.55,2,142,0,0,low,16-Feb-10,25-Apr-11,01-Apr-16,key talent,canada,egalitarian,united states,egalitarian,regulatory affairs,united states,positive,fired,bust
0.45,0.54,2,135,0,0,low,11-Jun-12,00-Jan-00,12-Feb-15,consistent,spain,hierarquical,united states,egalitarian,commercial,united states,positive,fired,bust
0.11,0.81,6,305,0,0,low,18-Jun-01,30-Jun-14,12-Jun-15,consistent,united states,egalitarian,singapore,hierarquical,commercial,sbu,positive,quit,bust
0.9,0.92,4,234,0,0,low,30-Jun-94,31-Oct-11,06-Mar-15,consistent,united states,egalitarian,puerto rico,top-down,operations,lbu,neutral,quit,bust
0.5,0.55,2,148,0,0,low,22-Jun-81,31-Oct-16,31-Oct-18,key talent,united states,egalitarian,puerto rico,top-down,operations,lbu,neutral,quit,bust
0.36,0.56,2,137,0,0,low,05-Apr-04,01-Jul-13,31-Jan-17,consistent,italy,hierarquical,france,hierarquical,commercial,lbu,neutral,quit,bust
0.38,0.54,2,143,0,0,low,02-Nov-92,28-Nov-11,13-Jun-16,consistent,italy,hierarquical,sweden,consensual,finance,mbu,positive,quit,bust
0.5,0.55,2,160,0,0,low,02-Apr-12,04-Feb-13,31-May-17,key talent,ireland,top-down,great britain,top-down,commercial,lbu,positive,quit,bust
0.9,0.99,4,255,0,0,low,27-Feb-06,26-Aug-13,31-Jan-17,consistent,great britain,top-down,united states,egalitarian,medical,united states,positive,quit,bust
0.45,0.51,2,160,1,1,low,18-Jan-01,00-Jan-00,31-May-15,consistent,italy,hierarquical,portugal,top-down,finance,sbu,positive,quit,bust
0.9,0.89,5,262,0,0,low,05-Sep-06,30-Aug-10,30-Nov-16,consistent,united states,egalitarian,singapore,hierarquical,operations,sbu,positive,quit,bust
0.11,0.83,6,282,0,0,low,15-Feb-01,04-Nov-13,30-Apr-17,well placed talent,united arab emirates,hierarquical,egypt,top-down,commercial,sbu,neutral,quit,bust
0.38,0.55,2,147,0,0,low,01-Apr-08,04-Nov-13,01-Sep-16,consistent,canada,egalitarian,finland,egalitarian,commercial,mbu,neutral,quit,bust
0.09,0.95,6,304,0,0,low,07-Apr-08,25-Aug-14,25-Aug-17,consistent,italy,hierarquical,united states,egalitarian,marketing,united states,positive,quit,bust
0.46,0.57,2,139,0,0,low,22-Mar-09,02-Nov-15,02-Nov-17,consistent,israel,hierarquical,united states,egalitarian,human resources,united states,positive,quit,bust
0.4,0.53,2,158,0,0,low,19-Oct-09,30-Sep-13,00-Jan-00,well placed talent,australia,egalitarian,france,hierarquical,marketing,lbu,neutral,quit,bust
0.89,0.92,5,242,0,0,low,26-Oct-09,01-Dec-14,30-Nov-17,key talent,poland,consensual,belgium,consensual,commercial,lbu,neutral,quit,bust
