satisfaction_level,last_evaluation,number_project,average_montly_hours,Work_accident,promotion_last_5years,salary,hire_date,move_date,end_date,leader_host,country_home,culture_home,country_host,culture_host,function_host,business Size_host,economic Perspective_host,fired_quit,buzz_bust
0.45,0.54,2,135,0,0,low,11-Jun-12,20-Sep-19,15-Nov-19,consistent,spain,hierarquical,united states,egalitarian,commercial,united states,positive,fired,bust
0.5,0.55,2,160,0,0,low,02-Apr-12,21-Sep-19,15-Oct-19,key talent,ireland,top-down,great britain,top-down,commercial,lbu,positive,quit,bust
0.1,0.84,6,293,0,0,medium,17-Jul-95,26-Sep-19,15-Nov-19,well placed talent,great britain,top-down,denmark,egalitarian,human resources,sbu,positive,fired,bust
0.53,0.81,5,135,0,0,medium,01-Jan-08,01-Oct-19,15-Nov-19,consistent,colombia,top-down,denmark,egalitarian,medical,sbu,positive,fired,bust
0.9,0.96,4,258,0,0,medium,06-Sep-11,22-Sep-19,30-Aug-19,key talent,united states,egalitarian,china,hierarquical,commercial,lbu,positive,no,buzz
0.46,0.49,2,138,0,0,low,23-Jun-14,23-Sep-19,31-Jul-25,well placed talent,united states,egalitarian,singapore,hierarquical,operations,sbu,positive,no,buzz
0.45,0.56,2,154,0,0,low,05-Oct-09,24-Sep-19,31-Mar-25,well placed talent,colombia,top-down,sweden,consensual,marketing,mbu,positive,no,buzz
0.4,0.46,2,127,0,0,medium,14-Jun-04,25-Sep-19,31-Aug-25,consistent,portugal,top-down,united states,egalitarian,human resources,united states,positive,no,buzz
0.5,0.55,2,160,0,0,medium,01-Feb-03,27-Sep-19,28-Feb-25,key talent,greece,consensual,denmark,egalitarian,finance,sbu,positive,no,buzz
0.9,0.88,4,269,0,0,low,06-Jun-11,28-Sep-19,01-Aug-25,consistent,south africa,consensual,united states,egalitarian,commercial,united states,positive,no,buzz
0.38,0.45,2,127,0,0,low,20-Jun-11,29-Sep-19,01-Feb-25,consistent,united states,egalitarian,united states,egalitarian,finance,united states,positive,no,buzz
0.44,0.54,2,135,0,0,low,01-Mar-11,30-Sep-19,01-May-25,consistent,singapore,hierarquical,united states,egalitarian,commercial,united states,positive,no,buzz
0.7,0.73,2,139,0,0,medium,16-Dec-91,02-Oct-19,30-Jun-25,key talent,united states,egalitarian,united states,egalitarian,marketing,united states,positive,no,buzz
0.38,0.49,2,137,0,0,medium,01-Oct-10,03-Oct-19,28-Sep-25,consistent,germany,consensual,united states,egalitarian,commercial,united states,positive,no,buzz
